Id,TeamId,SeasonId,UpdatedAt
40,1,3,2025-07-14 19:38:35.696987 +00:00
41,2,3,2025-07-14 19:38:35.696987 +00:00
42,4,3,2025-07-14 19:38:35.696987 +00:00
43,5,3,2025-07-14 19:38:35.696987 +00:00
44,7,3,2025-07-14 19:38:35.696987 +00:00
45,8,3,2025-07-14 19:38:35.696987 +00:00
46,9,3,2025-07-14 19:38:35.696987 +00:00
47,10,3,2025-07-14 19:38:35.696987 +00:00
48,11,3,2025-07-14 19:38:35.696987 +00:00
49,12,3,2025-07-14 19:38:35.696987 +00:00
50,13,3,2025-07-14 19:38:35.696987 +00:00
51,14,3,2025-07-14 19:38:35.696987 +00:00
52,15,3,2025-07-14 19:38:35.696987 +00:00
53,16,3,2025-07-14 19:38:35.696987 +00:00
54,18,3,2025-07-14 19:38:35.696987 +00:00
55,20,3,2025-07-14 19:38:35.696987 +00:00
56,21,3,2025-07-14 19:38:35.696987 +00:00
57,23,3,2025-07-14 19:38:35.696987 +00:00
58,24,3,2025-07-14 19:38:35.696987 +00:00
59,25,3,2025-07-14 19:38:35.696987 +00:00
60,1,4,2025-07-14 19:38:35.696987 +00:00
61,2,4,2025-07-14 19:38:35.696987 +00:00
62,4,4,2025-07-14 19:38:35.696987 +00:00
63,5,4,2025-07-14 19:38:35.696987 +00:00
64,7,4,2025-07-14 19:38:35.696987 +00:00
65,8,4,2025-07-14 19:38:35.696987 +00:00
66,9,4,2025-07-14 19:38:35.696987 +00:00
67,11,4,2025-07-14 19:38:35.696987 +00:00
68,12,4,2025-07-14 19:38:35.696987 +00:00
69,13,4,2025-07-14 19:38:35.696987 +00:00
70,14,4,2025-07-14 19:38:35.696987 +00:00
71,15,4,2025-07-14 19:38:35.696987 +00:00
72,18,4,2025-07-14 19:38:35.696987 +00:00
73,20,4,2025-07-14 19:38:35.696987 +00:00
74,21,4,2025-07-14 19:38:35.696987 +00:00
75,23,4,2025-07-14 19:38:35.696987 +00:00
76,24,4,2025-07-14 19:38:35.696987 +00:00
77,26,4,2025-07-14 19:38:35.696987 +00:00
78,27,4,2025-07-14 19:38:35.696987 +00:00
79,28,4,2025-07-14 19:38:35.696987 +00:00
80,1,5,2025-07-14 19:38:35.696987 +00:00
81,2,5,2025-07-14 19:38:35.696987 +00:00
82,3,5,2025-07-14 19:38:35.696987 +00:00
83,4,5,2025-07-14 19:38:35.696987 +00:00
84,5,5,2025-07-14 19:38:35.696987 +00:00
85,6,5,2025-07-14 19:38:35.696987 +00:00
86,7,5,2025-07-14 19:38:35.696987 +00:00
87,9,5,2025-07-14 19:38:35.696987 +00:00
88,11,5,2025-07-14 19:38:35.696987 +00:00
89,13,5,2025-07-14 19:38:35.696987 +00:00
90,14,5,2025-07-14 19:38:35.696987 +00:00
91,15,5,2025-07-14 19:38:35.696987 +00:00
92,18,5,2025-07-14 19:38:35.696987 +00:00
93,20,5,2025-07-14 19:38:35.696987 +00:00
94,21,5,2025-07-14 19:38:35.696987 +00:00
95,23,5,2025-07-14 19:38:35.696987 +00:00
96,26,5,2025-07-14 19:38:35.696987 +00:00
97,27,5,2025-07-14 19:38:35.696987 +00:00
98,28,5,2025-07-14 19:38:35.696987 +00:00
99,29,5,2025-07-14 19:38:35.696987 +00:00
100,2,6,2025-07-14 19:38:35.696987 +00:00
101,3,6,2025-07-14 19:38:35.696987 +00:00
102,4,6,2025-07-14 19:38:35.696987 +00:00
103,5,6,2025-07-14 19:38:35.696987 +00:00
104,7,6,2025-07-14 19:38:35.696987 +00:00
105,8,6,2025-07-14 19:38:35.696987 +00:00
106,9,6,2025-07-14 19:38:35.696987 +00:00
107,11,6,2025-07-14 19:38:35.696987 +00:00
108,12,6,2025-07-14 19:38:35.696987 +00:00
109,13,6,2025-07-14 19:38:35.696987 +00:00
110,14,6,2025-07-14 19:38:35.696987 +00:00
111,15,6,2025-07-14 19:38:35.696987 +00:00
112,18,6,2025-07-14 19:38:35.696987 +00:00
113,20,6,2025-07-14 19:38:35.696987 +00:00
114,23,6,2025-07-14 19:38:35.696987 +00:00
